,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
total_scan_vat_mass,0.5110716338969226,0.2999884741130291,-0.4291119902266454,-0.2322050866158884,,-0.0579349295864945,-0.073481630233906,,-0.0317930042761223,-0.0531149234489925
total_scan_vat_volume,0.5110716338969226,0.2999884741130291,-0.4291119902266454,-0.2322050866158884,,-0.0579349295864945,-0.073481630233906,,-0.0317930042761223,-0.0531149234489925
waist,0.4635220041800543,0.2942000889099421,-0.391858111257769,-0.221627976551421,0.0317930157588885,-0.091057819039849,-0.0900956171377755,,0.033344938459221,
body_comp_android_tissue_mass,0.4692013152014881,0.2996839673346438,-0.3938469743346992,-0.2110781087047704,0.0332777086427998,-0.0926314831182178,-0.0951128945156961,,0.066658199216219,
body_comp_android_total_mass,0.468409171702199,0.2993176463002371,-0.3928910968217954,-0.2105002922706131,0.0336397473843313,-0.0928438724440393,-0.0951709002769012,,0.0675390201805371,
body_comp_trunk_right_tissue_mass,0.4524753986484973,0.281131643086161,-0.3766441039471448,-0.1934521802039378,0.0517085798464951,-0.0971371501845942,-0.0945141920462765,,0.092029790381145,0.0308117699493484
body_comp_trunk_right_total_mass,0.4502150052667297,0.2800851777448275,-0.3736179211532607,-0.1911563963042822,0.0523641458283891,-0.0981055941683798,-0.0945212021560815,,0.0950882222839468,0.0323510389618792
body_comp_trunk_tissue_mass,0.4573683241836157,0.2881864167136072,-0.3808112669227056,-0.1963084538156892,0.0497828111761699,-0.0971578197746378,-0.0954461720630961,,0.0921214140275939,0.0327140677747723
body_comp_trunk_left_tissue_mass,0.4541295505942181,0.289055964053809,-0.3779384176069682,-0.1956529665094218,0.047514783765852,-0.0954132176665239,-0.0948209186422668,,0.0911862964542793,0.0338272929444862
body_comp_trunk_left_total_mass,0.4516989872404974,0.2879217915748665,-0.3748237809463644,-0.193495062929263,0.0482379166275,-0.0963196916209181,-0.0948652143861864,,0.094264610333069,0.0355309257829496
body_comp_trunk_total_mass,0.455056507558247,0.2870749997808678,-0.3777927492658186,-0.1941228670729597,0.0504658668852164,-0.0981289864445816,-0.0954828234773339,,0.0951969273724325,0.034306535279391
body_comp_total_right_tissue_mass,0.426170066369705,0.271959052203056,-0.3534584889570952,-0.1855625785232142,0.0661784441920879,-0.0981360996784885,-0.0854900480103259,,0.0990204959970205,0.0386065984250489
body_comp_total_tissue_mass,0.4290541916067124,0.2745357753059364,-0.3548792651770477,-0.1864189180783185,0.0657756597736772,-0.0976482538362078,-0.0843663780435605,,0.0999718467436575,0.0392757315111411
body_comp_total_left_tissue_mass,0.4291520490963932,0.2749788109423476,-0.3540251322294055,-0.1861269974504041,0.0648448023674671,-0.096373618019068,-0.0828945380618556,,0.1002108406251811,0.0396476316669296
weight,0.4220749969068475,0.2723533251063403,-0.35085014996207,-0.1855270814532503,0.0651454987957473,-0.1021529714529921,-0.0866491484969771,,0.1061714720640403,0.0431985088134194
body_comp_total_right_total_mass,0.4218528378315568,0.2700661635638616,-0.3478522263514686,-0.1810776253062226,0.0669308479532396,-0.100274603969677,-0.0859714803473117,,0.1058429172503007,0.0427637761887056
body_comp_total_total_mass,0.4247486216035979,0.2726521076232019,-0.3492726131843739,-0.1819010941627447,0.0666549450984222,-0.0997945522238763,-0.0847365198688527,,0.1069967686661832,0.0434040854559548
body_comp_total_left_total_mass,0.4246376066423482,0.2729654269584591,-0.3481931789966866,-0.1814236733554628,0.0656668275586461,-0.0984455379263023,-0.0832061219652004,,0.107280128086507,0.0436029351149426
hips,0.2985124779052529,0.1894210790777424,-0.3013719350428464,-0.204782470305646,0.0621811851566141,,-0.0291565496932343,-0.0627969233525421,-0.0443522266234529,-0.0255424969140863
